city,lat,lng,ags,population,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,"19.03.2020",
Leverkusen,51.048254,7.029976,05316,163838,"""19.3.2020"," 16.00 Uhr""",33,4965,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,31,"33"
Kreis Lippe,51.9759031,8.9865279,05766,348391,"""19.3.2020"," 16.00 Uhr""",107,3256,0,0,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,107,"107"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,"""19.3.2020"," 16.00 Uhr""",34,12121,0,0,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,27,"34"
Kreis Mettmann,51.252811,6.970846,05158,485684,"""19.3.2020"," 16.00 Uhr""",87,5583,0,0,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,63,"87"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,"""19.3.2020"," 16.00 Uhr""",121,2568,0,0,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,97,"121"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,"""19.3.2020"," 16.00 Uhr""",46,5684,0,0,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,37,"46"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,"""19.3.2020"," 16.00 Uhr""",21,8137,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,14,"21"
MÃ¼nster,51.954044,7.624747,05515,314319,"""19.3.2020"," 16.00 Uhr""",158,1989,0,0,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,114,"158"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,"""19.3.2020"," 16.00 Uhr""",50,5449,0,0,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,50,"50"
Oberhausen,51.498071,6.862345,05119,210829,"""19.3.2020"," 16.00 Uhr""",18,11713,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,13,"18"
Kreis Olpe,51.026592,7.849124,05966,134775,"""19.3.2020"," 16.00 Uhr""",15,8985,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,14,"15"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,"""19.3.2020"," 16.00 Uhr""",59,5202,0,0,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,56,"59"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,"""19.3.2020"," 16.00 Uhr""",80,7691,0,0,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,69,"80"
Remscheid,51.180907,7.180644,05120,110994,"""19.3.2020"," 16.00 Uhr""",13,8538,0,0,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,10,"13"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,"""19.3.2020"," 16.00 Uhr""",106,4435,0,0,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,90,"106"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,"""19.3.2020"," 16.00 Uhr""",60,4724,0,0,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,60,"60"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,"""19.3.2020"," 16.00 Uhr""",50,9020,0,0,0,0,0,1,1,1,1,1,1,1,5,8,15,15,15,24,50,50,"50"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,"""19.3.2020"," 16.00 Uhr""",139,4315,0,0,0,0,0,0,0,2,2,2,5,11,19,24,32,32,63,78,78,139,"139"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,"""19.3.2020"," 16.00 Uhr""",29,9593,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,15,15,26,"29"
Kreis Soest,51.568226,8.113109,05974,301902,"""19.3.2020"," 16.00 Uhr""",49,6161,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,15,15,39,"49"
Solingen,51.176385,7.070708,05122,159360,"""19.3.2020"," 16.00 Uhr""",32,4980,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,31,31,"32"
Kreis Steinfurt,52.144456,7.331065,05566,447614,"""19.3.2020"," 16.00 Uhr""",138,3244,0,0,0,0,0,0,0,0,0,2,2,5,11,22,31,43,61,80,91,114,"138"
Kreis Unna,51.537065,7.685846,05978,394782,"""19.3.2020"," 16.00 Uhr""",46,8582,0,0,0,1,1,1,1,1,1,8,8,4,6,6,13,13,14,19,19,25,"46"
Kreis Viersen,51.254239,6.396321,05166,298935,"""19.3.2020"," 16.00 Uhr""",59,5067,0,0,1,1,2,2,3,5,5,5,5,6,6,6,16,16,16,16,43,43,"59"
Kreis Warendorf,51.8393825,8.016104,05570,277783,"""19.3.2020"," 16.00 Uhr""",111,2503,0,0,0,0,0,0,0,0,1,2,2,4,5,8,14,27,47,59,65,89,"111"
Kreis Wesel ,51.664636,6.625631,05170,459809,"""19.3.2020"," 16.00 Uhr""",132,3483,0,0,1,1,1,1,1,1,1,1,1,1,4,12,19,19,19,36,116,116,"132"
Wuppertal,51.265292,7.143049,05124,354382,"""19.3.2020"," 16.00 Uhr""",50,7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,14,31,31,"50"
,,,,17932651,,,,,,,,,,,,,,,,,,,,,,,,,
