city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,"02.04.2020",
MÃ¼nster,51.954044,7.624747, 5515,314319,"""02.04.2020"," 16 Uhr""", 503, 2, 11,#N/A, 160, 1, 1, 1, 2, 4, 8, 4, 4, 5, 6, 8, 14, 23, 41, 56, 90, 90, 114, 158, 191, 219, 243, 276, 295, 312, 361, 388, 414,443, 448, 468, 487,"503"
Oberbergischer Kreis,50.971448,7.579776, 5374,272471,"""02.04.2020"," 16 Uhr""", 277, 2, 7,#N/A, 102,,,, 2, 2, 5, 5, 5, 5, 6, 10, 11, 14, 14, 19, 27, 27, 50, 50, 57, 71, 75, 94, 101, 116, 133, 161, 170,182, 215, 234, 258,"277"
Oberhausen,51.498071,6.862345, 5119,210829,"""02.04.2020"," 16 Uhr""", 78,, 8,#N/A, 37,,,,,,,,,,, 1, 1, 8, 8, 8, 8, 13, 13, 18, 35, 35, 35, 37, 37, 39, 44, 54, 61,63, 66, 68, 69,"78"
Kreis Olpe,51.026592,7.849124, 5966,134775,"""02.04.2020"," 16 Uhr""", 150, 1, 7,#N/A, 111,,,,,,,,,,,, 1, 6, 6, 6, 6, 6, 14, 15, 17, 17, 17, 19, 19, 35, 45, 85, 89,102, 127, 127, 147,"150"
Kreis Paderborn,51.7156948,8.7464185, 5774,306890,"""02.04.2020"," 16 Uhr""", 295, 5, 7,#N/A, 96,,,,,, 1, 1, 2, 2, 2, 6, 6, 18, 32, 36, 37, 45, 56, 59, 71, 75, 78, 92, 98, 105, 139, 152, 152,187, 201, 237, 275,"295"
Kreis Recklinghausen,51.6783004,7.1311409, 5562,615261,"""02.04.2020"," 16 Uhr""", 428, 1, 8,#N/A, 70,,,,, 1, 1, 1, 1, 1, 2, 9, 16, 31, 41, 47, 51, 56, 69, 80, 100, 127, 143, 150, 170, 195, 246, 277, 309,322, 331, 369, 402,"428"
Remscheid,51.180907,7.180644, 5120,110994,"""02.04.2020"," 16 Uhr""", 78, 1, 7,#N/A, 70,,,,,,,, 1, 4, 4, 4, 5, 7, 7, 8, 8, 9, 10, 13, 19, 21, 21, 30, 33, 34, 38, 43, 52,56, 58, 59, 67,"78"
Rhein-Erft-Kreis,50.926461,6.69704, 5362,470089,"""02.04.2020"," 16 Uhr""", 432, 4, 9,#N/A, 92,, 1, 1, 1, 2, 2, 2, 2, 2, 3, 6, 10, 13, 24, 36, 58, 82, 90, 106, 124, 154, 181, 180, 199, 244, 258, 276, 296,296, 341, 344, 393,"432"
Rheinisch-Bergischer Kreis,51.013579,7.181018, 5378,283455,"""02.04.2020"," 16 Uhr""", 225, 3, 10,#N/A, 79,,,, 2, 3, 3, 3, 4, 9, 11, 12, 18, 28, 29, 30, 52, 52, 60, 60, 81, 81, 95, 108, 135, 137, 141, 162, 163,171, 197, 200, 220,"225"
Rhein-Kreis Neuss,51.134897,6.645946, 5162,451007,"""02.04.2020"," 16 Uhr""", 380, 6, 9,#N/A, 84,,,, 1, 1, 1, 1, 1, 1, 1, 5, 8, 15, 15, 15, 24, 50, 50, 50, 85, 96, 119, 140, 153, 194, 225, 266, 282,282, 328, 349, 364,"380"
Rhein-Sieg-Kreis,50.7413603,7.3151707, 5382,599780,"""02.04.2020"," 16 Uhr""", 581, 2, 11,#N/A, 97,,,,,, 2, 2, 2, 5, 11, 19, 24, 32, 32, 63, 78, 78, 139, 139, 248, 248, 262, 305, 335, 335, 356, 417, 460,490, 525, 543, 552,"581"
Kreis Siegen Wittgenstein,50.892976,8.0748, 5970,278210,"""02.04.2020"," 16 Uhr""", 115, 2, 9,#N/A, 41,,,,,,,,,,, 1, 1, 10, 10, 10, 15, 15, 26, 29, 29, 29, 39, 47, 51, 60, 61, 79, 79,92, 98, 100, 107,"115"
Kreis Soest,51.568226,8.113109, 5974,301902,"""02.04.2020"," 16 Uhr""", 215, 1, 10,#N/A, 71,,,,,,,,,,, 1, 3, 9, 9, 9, 15, 15, 39, 49, 57, 57, 73, 93, 110, 121, 135, 153, 153,176, 193, 199, 209,"215"
Solingen,51.176385,7.070708, 5122,159360,"""02.04.2020"," 16 Uhr""", 112, 1, 8,#N/A, 70,,,,,,,,,, 4, 4, 4, 6, 6, 7, 7, 31, 31, 32, 35, 38, 38, 38, 51, 54, 66, 71, 81,87, 87, 102, 107,"112"
Kreis Steinfurt,52.144456,7.331065, 5566,447614,"""02.04.2020"," 16 Uhr""", 516, 3, 8,#N/A, 115,,,,,,,, 2, 2, 5, 11, 22, 31, 43, 61, 80, 91, 114, 138, 164, 188, 201, 207, 240, 251, 292, 328, 353,388, 395, 418, 453,"516"
Kreis Unna,51.537065,7.685846, 5978,394782,"""02.04.2020"," 16 Uhr""", 235, 3, 8,#N/A, 60,, 1, 1, 1, 1, 1, 1, 8, 8, 4, 6, 6, 13, 13, 14, 19, 19, 25, 46, 60, 60, 60, 98, 108, 124, 146, 162, 162,171, 189, 200, 235,"235"
Kreis Viersen,51.254239,6.396321, 5166,298935,"""02.04.2020"," 16 Uhr""", 320, 5, 12,#N/A, 107, 1, 1, 2, 2, 3, 5, 5, 5, 5, 6, 6, 6, 16, 16, 16, 16, 43, 43, 59, 70, 123, 123, 123, 168, 174, 181, 220, 234,249, 262, 275, 284,"320"
Kreis Warendorf,51.8393825,8.016104, 5570,277783,"""02.04.2020"," 16 Uhr""", 330, 2, 13,#N/A, 119,,,,,,, 1, 2, 2, 4, 5, 8, 14, 27, 47, 59, 65, 89, 111, 146, 186, 208, 203, 210, 224, 249, 268, 286,289, 297, 308, 314,"330"
Kreis Wesel ,51.664636,6.625631, 5170,459809,"""02.04.2020"," 16 Uhr""", 254, 2, 12,#N/A, 55, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 12, 19, 19, 19, 36, 116, 116, 132, 132, 124, 124, 132, 146, 162, 178, 193, 198,217, 219, 237, 243,"254"
Wuppertal,51.265292,7.143049, 5124,354382,"""02.04.2020"," 16 Uhr""", 251, 4, 8,#N/A, 71,,,,,,,,,,,,, 6, 6, 6, 14, 31, 31, 50, 61, 74, 74, 74, 110, 117, 138, 162, 172,185, 186, 197, 238,251
