city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,"04.04.2020",
Gelsenkirchen,51.517744,7.0857172, 5513,260654,"""04.04.2020"," 11 Uhr""",159,2, 8, 22, 61,,,,, 3, 3, 3, 3, 3, 4, 4, 4, 7, 9, 12, 13, 18, 21, 36, 38, 41, 41, 47, 52, 55, 62, 73, 81,91, 94, 107, 119,133,143,"159"
Kreis GÃ¼tersloh,51.903311,8.390601, 5754,364083,"""04.04.2020"," 11 Uhr""",446,3, 13, 212, 122,,,,, 1, 1,,,,, 5, 15, 15, 15, 45, 71, 80, 91, 100, 169, 179, 202, 224, 254, 254, 315, 335, 335,356, 372, 387, 401,432,340,"446"
Hagen,51.371236,7.487553, 5914,188814,"""04.04.2020"," 11 Uhr""",96,2, 11, 52, 51,,,,,,,,, 1, 1, 3, 3, 3, 5, 5, 6, 8, 11, 22, 31, 31, 37, 43, 50, 55, 55, 55, 62,62, 80, 80, 82,92,96,"96"
Hamm,51.674274,7.821892, 5915,179111,"""04.04.2020"," 11 Uhr""",217,4, 9, 80, 121,,,,,,,,,,,,, 2, 4, 4, 4, 8, 16, 26, 49, 54, 62, 85, 90, 94, 109, 117, 131,146, 153, 157, 171,182,117,"217"
Kreis Heinsberg,51.06395,6.098857, 5370,254322,"""04.04.2020"," 11 Uhr""",1432,40, 18, 768, 563, 65, 65, 78, 87, 197, 214, 214, 277, 292, 365, 403, 483, 558, 589, 650, 690, 760, 811, 845, 916, 916, 964, 1004, 1043, 1056, 1124, 1166, 1202,1246, 1265, 1266, 1331,1406,1432,"1432"
Kreis Herford,52.1759015,8.5988205, 5758,250783,"""04.04.2020"," 11 Uhr""",213,1, 11, 67, 85,,,,,, 2, 2, 2, 2, 2, 4, 5, 9, 19, 22, 26, 26, 52, 52, 84, 85, 97, 99, 104, 117, 122, 133, 138,143, 148, 152, 176,194,194,"213"
Herne,51.540584,7.20971, 5916,156374,"""04.04.2020"," 11 Uhr""",68,-, 11, 32, 43,,,,,,,,,,, 2, 4, 4, 4, 5, 8, 8, 7, 13, 13, 16, 23, 23, 27, 27, 41, 42, 45,51, 55, 57, 58,64,66,"68"
Hochsauerlandkreis,51.24509,8.301315, 5958,260475,"""04.04.2020"," 11 Uhr""",346,1, 9, 127, 133,,,,,,,,,, 1, 1, 6, 14, 20, 30, 31, 37, 80, 82, 99, 103, 116, 131, 149, 160, 183, 206, 213,231, 244, 253, 286,313,346,"346"
Kreis HÃ¶xter,51.775929,9.380873, 5762,140667,"""04.04.2020"," 11 Uhr""",99,1, 9, 22, 70,,,,,,,,,,,,,,,, 2, 4, 7, 7, 16, 16, 20, 21, 22, 33, 39, 54, 54,63, 66, 71, 71,78,78,"99"
Kreis Kleve,51.7794,6.126757, 5154,310974,"""04.04.2020"," 11 Uhr""",285,3, 11, 112, 92,,,,,,,,,, 1, 2, 4, 10, 14, 32, 36, 66, 66, 74, 89, 109, 109, 109, 126, 150, 166, 211, 211,233, 233, 237, 242,264,272,"285"
KÃ¶ln,50.94718,6.934628, 5315,1085664,"""04.04.2020"," 11 Uhr""",1694,26, 12, 730, 156, 5, 5, 6, 7, 12, 18, 20, 30, 30, 33, 43, 63, 83, 83, 129, 274, 274, 430, 430, 629, 629, 688, 809, 880, 880, 980, 1017, 1116,1212, 1290, 1343, 1405,1499,1657,"1694"
Krefeld,51.337869,6.585484, 5114,227020,"""04.04.2020"," 11 Uhr""",264,1, 10, 80, 116,,,,,,,,,,,, 2, 10, 10, 10, 19, 36, 53, 53, 71, 71, 71, 92, 97, 110, 138, 147, 185,185, 208, 211, 225,240,251,"264"
Leverkusen,51.048254,7.029976, 5316,163838,"""04.04.2020"," 11 Uhr""",146,1, 10, 44, 89,,,,,,,,,,, 2, 3, 5, 5, 9, 20, 21, 31, 33, 40, 45, 48, 48, 58, 65, 74, 82, 88,102, 102, 113, 127,131,141,"146"
Kreis Lippe,51.9759031,8.9865279, 5766,348391,"""04.04.2020"," 11 Uhr""",429,3, 10, 92, 123,,,,, 1, 1, 1, 1, 3, 11, 19, 21, 36, 37, 37, 56, 56, 107, 107, 133, 133, 138, 170, 188, 204, 230, 261, 261,279, 302, 325, 347,393,393,"429"
MÃ¤rkischer Kreis,51.285488,7.734746, 5962,412120,"""04.04.2020"," 11 Uhr""",175,3, 7, 31, 42, 1,, 1, 1, 3, 5, 5, 5, 5, 6, 7, 10, 13, 13, 13, 17, 21, 27, 34, 36, 38, 38, 47, 47, 54, 73, 81, 89,100, 115, 127, 146,164,175,"175"
Kreis Mettmann,51.252811,6.970846, 5158,485684,"""04.04.2020"," 11 Uhr""",484,9, 10, 189, 100,,,, 1, 1, 2, 2, 6, 6, 8, 11, 16, 19, 19, 19, 19, 44, 63, 87, 104, 113, 113, 173, 199, 217, 243, 249, 271,284, 306, 361, 379,381,451,"484"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421, 5770,310710,"""04.04.2020"," 11 Uhr""",385,1, 11, 164, 124,,,,,, 1, 2, 4, 5, 5, 9, 10, 14, 32, 47, 61, 74, 97, 121, 140, 140, 148, 166, 184, 207, 223, 241, 241,246, 268, 294, 340,364,364,"385"
MÃ¶nchengladbach,51.1821,6.428687, 5116,261454,"""04.04.2020"," 11 Uhr""",250,1, 9, 115, 96, 1, 1, 1, 1, 3, 5, 7, 7, 7, 8, 8, 17, 23, 23, 36, 36, 37, 37, 46, 68, 77, 77, 77, 106, 118, 123, 146, 163,168, 174, 178, 204,217,217,"250"
MÃ¼lheim an der Ruhr,51.437117,6.894836, 5117,170880,"""04.04.2020"," 11 Uhr""",96,2, 11, 46, 56,,,,,,,,,,,, 4, 9, 9, 9, 9, 12, 14, 21, 30, 36, 36, 36, 45, 52, 52, 53, 62,62, 68, 76, 79,86,94,"96"
MÃ¼nster,51.954044,7.624747, 5515,314319,"""04.04.2020"," 11 Uhr""",537,2, 13, 270, 171, 1, 1, 1, 2, 4, 8, 4, 4, 5, 6, 8, 14, 23, 41, 56, 90, 90, 114, 158, 191, 219, 243, 276, 295, 312, 361, 388, 414,443, 448, 468, 487,503,522,"537"
Oberbergischer Kreis,50.971448,7.579776, 5374,272471,"""04.04.2020"," 11 Uhr""",303,2, 9, 115, 111,,,, 2, 2, 5, 5, 5, 5, 6, 10, 11, 14, 14, 19, 27, 27, 50, 50, 57, 71, 75, 94, 101, 116, 133, 161, 170,182, 215, 234, 258,277,294,"303"
Oberhausen,51.498071,6.862345, 5119,210829,"""04.04.2020"," 11 Uhr""",91,-, 8, 30, 43,,,,,,,,,,, 1, 1, 8, 8, 8, 8, 13, 13, 18, 35, 35, 35, 37, 37, 39, 44, 54, 61,63, 66, 68, 69,78,91,"91"
Kreis Olpe,51.026592,7.849124, 5966,134775,"""04.04.2020"," 11 Uhr""",193,2, 6, 97, 143,,,,,,,,,,,, 1, 6, 6, 6, 6, 6, 14, 15, 17, 17, 17, 19, 19, 35, 45, 85, 89,102, 127, 127, 147,150,193,"193"
Kreis Paderborn,51.7156948,8.7464185, 5774,306890,"""04.04.2020"," 11 Uhr""",338,5, 8, 58, 110,,,,,, 1, 1, 2, 2, 2, 6, 6, 18, 32, 36, 37, 45, 56, 59, 71, 75, 78, 92, 98, 105, 139, 152, 152,187, 201, 237, 275,295,295,"338"
Kreis Recklinghausen,51.6783004,7.1311409, 5562,615261,"""04.04.2020"," 11 Uhr""",490,1, 10, 216, 80,,,,, 1, 1, 1, 1, 1, 2, 9, 16, 31, 41, 47, 51, 56, 69, 80, 100, 127, 143, 150, 170, 195, 246, 277, 309,322, 331, 369, 402,428,463,"490"
Remscheid,51.180907,7.180644, 5120,110994,"""04.04.2020"," 11 Uhr""",89,1, 8, 38, 80,,,,,,,, 1, 4, 4, 4, 5, 7, 7, 8, 8, 9, 10, 13, 19, 21, 21, 30, 33, 34, 38, 43, 52,56, 58, 59, 67,78,80,"89"
Rhein-Erft-Kreis,50.926461,6.69704, 5362,470089,"""04.04.2020"," 11 Uhr""",514,7, 10, 145, 109,, 1, 1, 1, 2, 2, 2, 2, 2, 3, 6, 10, 13, 24, 36, 58, 82, 90, 106, 124, 154, 181, 180, 199, 244, 258, 276, 296,296, 341, 344, 393,432,473,"514"
Rheinisch-Bergischer Kreis,51.013579,7.181018, 5378,283455,"""04.04.2020"," 11 Uhr""",236,3, 12, 132, 83,,,, 2, 3, 3, 3, 4, 9, 11, 12, 18, 28, 29, 30, 52, 52, 60, 60, 81, 81, 95, 108, 135, 137, 141, 162, 163,171, 197, 200, 220,225,231,"236"
Rhein-Kreis Neuss,51.134897,6.645946, 5162,451007,"""04.04.2020"," 11 Uhr""",425,6, 10, 230, 94,,,, 1, 1, 1, 1, 1, 1, 1, 5, 8, 15, 15, 15, 24, 50, 50, 50, 85, 96, 119, 140, 153, 194, 225, 266, 282,282, 328, 349, 364,380,410,"425"
Rhein-Sieg-Kreis,50.7413603,7.3151707, 5382,599780,"""04.04.2020"," 11 Uhr""",675,3, 11, 163, 113,,,,,, 2, 2, 2, 5, 11, 19, 24, 32, 32, 63, 78, 78, 139, 139, 248, 248, 262, 305, 335, 335, 356, 417, 460,490, 525, 543, 552,581,581,"675"
Kreis Siegen Wittgenstein,50.892976,8.0748, 5970,278210,"""04.04.2020"," 11 Uhr""",140,2, 8, 40, 50,,,,,,,,,,, 1, 1, 10, 10, 10, 15, 15, 26, 29, 29, 29, 39, 47, 51, 60, 61, 79, 79,92, 98, 100, 107,115,140,"140"
Kreis Soest,51.568226,8.113109, 5974,301902,"""04.04.2020"," 11 Uhr""",220,1, 10, 100, 73,,,,,,,,,,, 1, 3, 9, 9, 9, 15, 15, 39, 49, 57, 57, 73, 93, 110, 121, 135, 153, 153,176, 193, 199, 209,215,220,"220"
Solingen,51.176385,7.070708, 5122,159360,"""04.04.2020"," 11 Uhr""",132,1, 9, 41, 83,,,,,,,,,, 4, 4, 4, 6, 6, 7, 7, 31, 31, 32, 35, 38, 38, 38, 51, 54, 66, 71, 81,87, 87, 102, 107,112,124,"132"
Kreis Steinfurt,52.144456,7.331065, 5566,447614,"""04.04.2020"," 11 Uhr""",574,5, 10, 220, 128,,,,,,,, 2, 2, 5, 11, 22, 31, 43, 61, 80, 91, 114, 138, 164, 188, 201, 207, 240, 251, 292, 328, 353,388, 395, 418, 453,516,528,"574"
Kreis Unna,51.537065,7.685846, 5978,394782,"""04.04.2020"," 11 Uhr""",282,3, 9, 105, 71,, 1, 1, 1, 1, 1, 1, 8, 8, 4, 6, 6, 13, 13, 14, 19, 19, 25, 46, 60, 60, 60, 98, 108, 124, 146, 162, 162,171, 189, 200, 235,235,282,"282"
Kreis Viersen,51.254239,6.396321, 5166,298935,"""04.04.2020"," 11 Uhr""",353,7, 10, 88, 118, 1, 1, 2, 2, 3, 5, 5, 5, 5, 6, 6, 6, 16, 16, 16, 16, 43, 43, 59, 70, 123, 123, 123, 168, 174, 181, 220, 234,249, 262, 275, 284,320,340,"353"
Kreis Warendorf,51.8393825,8.016104, 5570,277783,"""04.04.2020"," 11 Uhr""",341,2, 15, 193, 123,,,,,,, 1, 2, 2, 4, 5, 8, 14, 27, 47, 59, 65, 89, 111, 146, 186, 208, 203, 210, 224, 249, 268, 286,289, 297, 308, 314,330,338,"341"
Kreis Wesel ,51.664636,6.625631, 5170,459809,"""04.04.2020"," 11 Uhr""",267,2, 16, 140, 58, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 12, 19, 19, 19, 36, 116, 116, 132, 132, 124, 124, 132, 146, 162, 178, 193, 198,217, 219, 237, 243,254,258,"267"
Wuppertal,51.265292,7.143049, 5124,354382,"""04.04.2020"," 11 Uhr""",284,5, 9, 41, 80,,,,,,,,,,,,, 6, 6, 6, 14, 31, 31, 50, 61, 74, 74, 74, 110, 117, 138, 162, 172,185, 186, 197, 238,251,280,284
