city,lat,long,ags,population,date,cases,tot,gesund,Verdopplungstage,pro100000,01.03.,02.03.,03.03.,04.03.,05.03.,06.03.,07.03.,08.03.,09.03.,10.03.,11.03.,12.03.,13.03.,14.03.,15.03.,16.03.,17.03.,18.03.,19.03.,20.03.,21.03.,22.03.,23.03.,24.03.,25.03.,26.03.,27.03.,28.03.,29.03.,30.03.,31.03.,01.04.,02.04.,03.04.,04.04.,05.04.,06.04.,07.04.,08.04.,09.04.,10.04.,11.04.,"12.04.",
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421, 5770,310710,"""12.04.2020"," 12 Uhr""",477,3,251, 17, 154,,,,,, 1, 2, 4, 5, 5, 9, 10, 14, 32, 47, 61, 74, 97, 121, 140, 140, 148, 166, 184, 207, 223, 241, 241,246, 268, 294, 340,364,364,385,397,397,410,430,463,463,463,"477"
MÃ¶nchengladbach,51.1821,6.428687, 5116,261454,"""12.04.2020"," 12 Uhr""",367,16,192, 12, 140, 1, 1, 1, 1, 3, 5, 7, 7, 7, 8, 8, 17, 23, 23, 36, 36, 37, 37, 46, 68, 77, 77, 77, 106, 118, 123, 146, 163,168, 174, 178, 204,217,217,250,265,265,296,304,321,344,364,"367"
MÃ¼lheim an der Ruhr,51.437117,6.894836, 5117,170880,"""12.04.2020"," 12 Uhr""",131,4,77, 14, 77,,,,,,,,,,,, 4, 9, 9, 9, 9, 12, 14, 21, 30, 36, 36, 36, 45, 52, 52, 53, 62,62, 68, 76, 79,86,94,96,101,101,106,108,114,128,131,"131"
MÃ¼nster,51.954044,7.624747, 5515,314319,"""12.04.2020"," 12 Uhr""",609,7,412, 12, 194, 1, 1, 1, 2, 4, 8, 4, 4, 5, 6, 8, 14, 23, 41, 56, 90, 90, 114, 158, 191, 219, 243, 276, 295, 312, 361, 388, 414,443, 448, 468, 487,503,522,537,552,552,586,595,598,606,606,"609"
Oberbergischer Kreis,50.971448,7.579776, 5374,272471,"""12.04.2020"," 12 Uhr""",362,7,186, 12, 133,,,, 2, 2, 5, 5, 5, 5, 6, 10, 11, 14, 14, 19, 27, 27, 50, 50, 57, 71, 75, 94, 101, 116, 133, 161, 170,182, 215, 234, 258,277,294,303,306,306,306,327,354,362,362,"362"
Oberhausen,51.498071,6.862345, 5119,210829,"""12.04.2020"," 12 Uhr""",141,-,57, 12, 67,,,,,,,,,,, 1, 1, 8, 8, 8, 8, 13, 13, 18, 35, 35, 35, 37, 37, 39, 44, 54, 61,63, 66, 68, 69,78,91,91,108,108,114,117,125,134,141,"141"
Kreis Olpe,51.026592,7.849124, 5966,134775,"""12.04.2020"," 12 Uhr""",400,12,170, 17, 297,,,,,,,,,,,, 1, 6, 6, 6, 6, 6, 14, 15, 17, 17, 17, 19, 19, 35, 45, 85, 89,102, 127, 127, 147,150,193,193,216,228,264,283,333,333,389,"400"
Kreis Paderborn,51.7156948,8.7464185, 5774,306890,"""12.04.2020"," 12 Uhr""",476,12,73, 17, 155,,,,,, 1, 1, 2, 2, 2, 6, 6, 18, 32, 36, 37, 45, 56, 59, 71, 75, 78, 92, 98, 105, 139, 152, 152,187, 201, 237, 275,295,295,338,368,386,396,411,446,446,470,"476"
Kreis Recklinghausen,51.6783004,7.1311409, 5562,615261,"""12.04.2020"," 12 Uhr""",669,5,383, 17, 109,,,,, 1, 1, 1, 1, 1, 2, 9, 16, 31, 41, 47, 51, 56, 69, 80, 100, 127, 143, 150, 170, 195, 246, 277, 309,322, 331, 369, 402,428,463,490,530,530,547,581,610,659,669,"669"
Remscheid,51.180907,7.180644, 5120,110994,"""12.04.2020"," 12 Uhr""",148,2,64, 11, 133,,,,,,,, 1, 4, 4, 4, 5, 7, 7, 8, 8, 9, 10, 13, 19, 21, 21, 30, 33, 34, 38, 43, 52,56, 58, 59, 67,78,80,89,92,92,99,108,113,129,144,"148"
Rhein-Erft-Kreis,50.926461,6.69704, 5362,470089,"""12.04.2020"," 12 Uhr""",761,22,230, 16, 162,, 1, 1, 1, 2, 2, 2, 2, 2, 3, 6, 10, 13, 24, 36, 58, 82, 90, 106, 124, 154, 181, 180, 199, 244, 258, 276, 296,296, 341, 344, 393,432,473,514,539,578,593,634,443,482,761,"761"
Rheinisch-Bergischer Kreis,51.013579,7.181018, 5378,283455,"""12.04.2020"," 12 Uhr""",346,3,189, 16, 122,,,, 2, 3, 3, 3, 4, 9, 11, 12, 18, 28, 29, 30, 52, 52, 60, 60, 81, 81, 95, 108, 135, 137, 141, 162, 163,171, 197, 200, 220,225,231,236,250,250,281,294,305,316,333,"346"
Rhein-Kreis Neuss,51.134897,6.645946, 5162,451007,"""12.04.2020"," 12 Uhr""",530,10,368, 16, 118,,,, 1, 1, 1, 1, 1, 1, 1, 5, 8, 15, 15, 15, 24, 50, 50, 50, 85, 96, 119, 140, 153, 194, 225, 266, 282,282, 328, 349, 364,380,410,425,455,455,489,491,496,517,523,"530"
Rhein-Sieg-Kreis,50.7413603,7.3151707, 5382,599780,"""12.04.2020"," 12 Uhr""",923,18,378, 16, 154,,,,,, 2, 2, 2, 5, 11, 19, 24, 32, 32, 63, 78, 78, 139, 139, 248, 248, 262, 305, 335, 335, 356, 417, 460,490, 525, 543, 552,581,581,675,714,714,789,799,829,866,909,"923"
Kreis Siegen Wittgenstein,50.892976,8.0748, 5970,278210,"""12.04.2020"," 12 Uhr""",212,6,73, 17, 76,,,,,,,,,,, 1, 1, 10, 10, 10, 15, 15, 26, 29, 29, 29, 39, 47, 51, 60, 61, 79, 79,92, 98, 100, 107,115,140,140,167,182,188,194,200,200,200,"212"
Kreis Soest,51.568226,8.113109, 5974,301902,"""12.04.2020"," 12 Uhr""",310,2,163, 17, 103,,,,,,,,,,, 1, 3, 9, 9, 9, 15, 15, 39, 49, 57, 57, 73, 93, 110, 121, 135, 153, 153,176, 193, 199, 209,215,220,220,224,235,260,265,283,283,293,"310"
Solingen,51.176385,7.070708, 5122,159360,"""12.04.2020"," 12 Uhr""",183,2,91, 16, 115,,,,,,,,,, 4, 4, 4, 6, 6, 7, 7, 31, 31, 32, 35, 38, 38, 38, 51, 54, 66, 71, 81,87, 87, 102, 107,112,124,132,137,137,144,151,160,161,176,"183"
Kreis Steinfurt,52.144456,7.331065, 5566,447614,"""12.04.2020"," 12 Uhr""",961,24,374, 17, 215,,,,,,,, 2, 2, 5, 11, 22, 31, 43, 61, 80, 91, 114, 138, 164, 188, 201, 207, 240, 251, 292, 328, 353,388, 395, 418, 453,516,528,574,631,631,702,757,810,900,946,"961"
Kreis Unna,51.537065,7.685846, 5978,394782,"""12.04.2020"," 12 Uhr""",477,15,178, 17, 121,, 1, 1, 1, 1, 1, 1, 8, 8, 4, 6, 6, 13, 13, 14, 19, 19, 25, 46, 60, 60, 60, 98, 108, 124, 146, 162, 162,171, 189, 200, 235,235,282,282,331,365,377,403,418,438,458,"477"
Kreis Viersen,51.254239,6.396321, 5166,298935,"""12.04.2020"," 12 Uhr""",487,14,136, 17, 163, 1, 1, 2, 2, 3, 5, 5, 5, 5, 6, 6, 6, 16, 16, 16, 16, 43, 43, 59, 70, 123, 123, 123, 168, 174, 181, 220, 234,249, 262, 275, 284,320,340,353,393,393,406,411,430,469,479,"487"
Kreis Warendorf,51.8393825,8.016104, 5570,277783,"""12.04.2020"," 12 Uhr""",379,3,274, 17, 136,,,,,,, 1, 2, 2, 4, 5, 8, 14, 27, 47, 59, 65, 89, 111, 146, 186, 208, 203, 210, 224, 249, 268, 286,289, 297, 308, 314,330,338,341,342,342,347,351,362,367,376,"379"
Kreis Wesel,51.664636,6.625631, 5170,459809,"""12.04.2020"," 12 Uhr""",391,8,251, 17, 85, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 12, 19, 19, 19, 36, 116, 116, 132, 132, 124, 124, 132, 146, 162, 178, 193, 198,217, 219, 237, 243,254,258,267,278,278,285,303,319,362,382,"391"
Wuppertal,51.265292,7.143049, 5124,354382,"""12.04.2020"," 12 Uhr""",556,17,212, 15, 157,,,,,,,,,,,,, 6, 6, 6, 14, 31, 31, 50, 61, 74, 74, 74, 110, 117, 138, 162, 172,185, 186, 197, 238,251,280,284,298,298,350,383,422,513,539,556
