city,lat,long,ags,population,url,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,"23.03.2020",
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,,"""23.03.2020"," 16 Uhr""",76,4267,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,45,52,"76"
Essen,51.468739,7.019603,05113,583109,,"""23.03.2020"," 16 Uhr""",228,2557,0,1,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,164,218,"228"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,,"""23.03.2020"," 16 Uhr""",53,3638,0,,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,45,51,"53"
Gelsenkirchen,51.517744,7.0857172,05513,260654,,"""23.03.2020"," 16 Uhr""",47,5546,0,,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,41,41,"47"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,,"""23.03.2020"," 16 Uhr""",224,1625,0,,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,179,202,"224"
Hagen,51.371236,7.487553,05914,188814,,"""23.03.2020"," 16 Uhr""",43,4391,0,,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,31,37,"43"
Hamm,51.674274,7.821892,05915,179111,https://www.hamm.de/corona,"""23.03.2020"," 16 Uhr""",85,2107,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,54,62,"85"
Kreis Heinsberg,51.06395,6.098857,05370,254322,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,"""23.03.2020"," 16 Uhr""",1004,253,157,21,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,916,964,"1004"
Kreis Herford,52.1759015,8.5988205,05758,250783,,"""23.03.2020"," 16 Uhr""",99,2533,0,,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,85,97,"99"
Herne,51.540584,7.20971,05916,156374,,"""23.03.2020"," 16 Uhr""",23,6799,0,,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,16,23,"23"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,,"""23.03.2020"," 16 Uhr""",131,1988,0,,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,82,99,103,116,"131"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,,"""23.03.2020"," 16 Uhr""",21,6698,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,16,16,20,"21"
Kreis Kleve,51.7794,6.126757,05154,310974,,"""23.03.2020"," 16 Uhr""",109,2853,0,,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,66,74,89,109,109,"109"
KÃ¶ln,50.94718,6.934628,05315,1085664,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,"""23.03.2020"," 16 Uhr""",809,1342,11,2,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,430,629,629,688,"809"
Krefeld,51.337869,6.585484,05114,227020,,"""23.03.2020"," 16 Uhr""",92,2468,0,,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,53,71,71,71,"92"
Leverkusen,51.048254,7.029976,05316,163838,,"""23.03.2020"," 16 Uhr""",48,3413,0,,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,31,33,40,45,48,"48"
Kreis Lippe,51.9759031,8.9865279,05766,348391,,"""23.03.2020"," 16 Uhr""",170,2049,0,1,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,107,107,133,133,138,"170"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,,"""23.03.2020"," 16 Uhr""",47,8769,0,,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,27,34,36,38,38,"47"
Kreis Mettmann,51.252811,6.970846,05158,485684,,"""23.03.2020"," 16 Uhr""",173,2807,0,1,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,63,87,104,113,113,"173"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,,"""23.03.2020"," 16 Uhr""",166,1872,0,,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,97,121,140,140,148,"166"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,,"""23.03.2020"," 16 Uhr""",77,3396,0,,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,37,46,68,77,77,"77"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,,"""23.03.2020"," 16 Uhr""",36,4747,0,,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,14,21,30,36,36,"36"
MÃ¼nster,51.954044,7.624747,05515,314319,,"""23.03.2020"," 16 Uhr""",276,1139,0,,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,114,158,191,219,243,"276"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,,"""23.03.2020"," 16 Uhr""",94,2899,0,,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,50,50,57,71,75,"94"
Oberhausen,51.498071,6.862345,05119,210829,,"""23.03.2020"," 16 Uhr""",37,5698,0,,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,13,18,35,35,35,"37"
Kreis Olpe,51.026592,7.849124,05966,134775,,"""23.03.2020"," 16 Uhr""",19,7093,0,,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,14,15,17,17,17,"19"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,,"""23.03.2020"," 16 Uhr""",92,3336,0,,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,56,59,71,75,78,"92"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,,"""23.03.2020"," 16 Uhr""",150,4102,0,,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,69,80,100,127,143,"150"
Remscheid,51.180907,7.180644,05120,110994,,"""23.03.2020"," 16 Uhr""",30,3700,0,,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,10,13,19,21,21,"30"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,,"""23.03.2020"," 16 Uhr""",180,2612,0,,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,90,106,124,154,181,"180"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,,"""23.03.2020"," 16 Uhr""",108,2625,0,1,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,60,60,81,81,95,"108"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,,"""23.03.2020"," 16 Uhr""",140,3221,0,2,0,0,0,1,1,1,1,1,1,1,5,8,15,15,15,24,50,50,50,85,96,119,"140"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,,"""23.03.2020"," 16 Uhr""",305,1966,0,,0,0,0,0,0,2,2,2,5,11,19,24,32,32,63,78,78,139,139,248,248,262,"305"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,,"""23.03.2020"," 16 Uhr""",47,5919,0,,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,15,15,26,29,29,29,39,"47"
Kreis Soest,51.568226,8.113109,05974,301902,,"""23.03.2020"," 16 Uhr""",93,3246,0,,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,15,15,39,49,57,57,73,"93"
Solingen,51.176385,7.070708,05122,159360,,"""23.03.2020"," 16 Uhr""",38,4194,0,,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,31,31,32,35,38,38,"38"
Kreis Steinfurt,52.144456,7.331065,05566,447614,,"""23.03.2020"," 16 Uhr""",207,2162,0,,0,0,0,0,0,0,0,2,2,5,11,22,31,43,61,80,91,114,138,164,188,201,"207"
Kreis Unna,51.537065,7.685846,05978,394782,,"""23.03.2020"," 16 Uhr""",98,4028,0,,0,1,1,1,1,1,1,8,8,4,6,6,13,13,14,19,19,25,46,60,60,60,"98"
Kreis Viersen,51.254239,6.396321,05166,298935,,"""23.03.2020"," 16 Uhr""",123,2430,0,1,1,1,2,2,3,5,5,5,5,6,6,6,16,16,16,16,43,43,59,70,123,123,"123"
Kreis Warendorf,51.8393825,8.016104,05570,277783,,"""23.03.2020"," 16 Uhr""",203,1368,0,,0,0,0,0,0,0,1,2,2,4,5,8,14,27,47,59,65,89,111,146,186,208,"203"
Kreis Wesel ,51.664636,6.625631,05170,459809,,"""23.03.2020"," 16 Uhr""",132,3483,0,,1,1,1,1,1,1,1,1,1,1,4,12,19,19,19,36,116,116,132,132,124,124,"132"
Wuppertal,51.265292,7.143049,05124,354382,,"""23.03.2020"," 16 Uhr""",74,4789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,14,31,31,50,61,74,74,74
